IRL, T, +-, T-S, +-, K, +-, D/K, +-
181, 3.577E-19, 0.3%, 3.324E-19, 0.3%, 8.325E-19, 0.3%, 4.296E-01, 0.4%
182, 5.451E-19, 0.2%, 5.073E-19, 0.2%, 8.369E-19, 0.3%, 6.513E-01, 0.4%
183, 6.474E-19, 0.2%, 6.028E-19, 0.2%, 8.304E-19, 0.3%, 7.796E-01, 0.3%
184, 7.109E-19, 0.2%, 6.622E-19, 0.2%, 8.341E-19, 0.3%, 8.524E-01, 0.3%
185, 7.542E-19, 0.2%, 7.025E-19, 0.2%, 8.303E-19, 0.3%, 9.083E-01, 0.3%
186, 7.801E-19, 0.2%, 7.267E-19, 0.2%, 8.285E-19, 0.3%, 9.416E-01, 0.3%
187, 7.965E-19, 0.2%, 7.420E-19, 0.2%, 8.275E-19, 0.3%, 9.626E-01, 0.3%
188, 8.083E-19, 0.2%, 7.530E-19, 0.2%, 8.236E-19, 0.2%, 9.814E-01, 0.3%
189, 8.142E-19, 0.2%, 7.585E-19, 0.2%, 8.230E-19, 0.3%, 9.893E-01, 0.3%
190, 8.177E-19, 0.2%, 7.617E-19, 0.2%, 8.227E-19, 0.3%, 9.939E-01, 0.3%
191, 8.203E-19, 0.2%, 7.641E-19, 0.2%, 8.206E-19, 0.3%, 9.997E-01, 0.3%
192, 8.189E-19, 0.2%, 7.628E-19, 0.2%, 8.186E-19, 0.3%, 1.000E+00, 0.3%
193, 8.198E-19, 0.2%, 7.636E-19, 0.2%, 8.183E-19, 0.3%, 1.002E+00, 0.3%
194, 8.165E-19, 0.2%, 7.605E-19, 0.2%, 8.169E-19, 0.3%, 9.995E-01, 0.3%
195, 8.152E-19, 0.2%, 7.593E-19, 0.2%, 8.093E-19, 0.3%, 1.007E+00, 0.3%
196, 8.117E-19, 0.2%, 7.560E-19, 0.2%, 8.095E-19, 0.3%, 1.003E+00, 0.3%
197, 8.084E-19, 0.2%, 7.529E-19, 0.2%, 8.063E-19, 0.3%, 1.003E+00, 0.3%
198, 8.068E-19, 0.2%, 7.514E-19, 0.2%, 8.063E-19, 0.3%, 1.001E+00, 0.3%
199, 8.052E-19, 0.2%, 7.498E-19, 0.2%, 8.019E-19, 0.3%, 1.004E+00, 0.3%
200, 8.017E-19, 0.2%, 7.465E-19, 0.2%, 8.009E-19, 0.3%, 1.001E+00, 0.3%
201, 8.022E-19, 0.2%, 7.470E-19, 0.2%, 8.011E-19, 0.5%, 1.001E+00, 0.5%
202, 8.011E-19, 0.2%, 7.460E-19, 0.2%, 7.946E-19, 0.4%, 1.008E+00, 0.5%
203, 7.991E-19, 0.2%, 7.441E-19, 0.2%, 7.999E-19, 0.4%, 9.990E-01, 0.5%
204, 8.007E-19, 0.2%, 7.456E-19, 0.2%, 7.973E-19, 0.4%, 1.004E+00, 0.5%
205, 8.004E-19, 0.2%, 7.453E-19, 0.2%, 7.877E-19, 0.4%, 1.016E+00, 0.4%
206, 7.999E-19, 0.2%, 7.448E-19, 0.2%, 7.942E-19, 0.4%, 1.007E+00, 0.5%
207, 7.975E-19, 0.2%, 7.426E-19, 0.2%, 8.035E-19, 0.5%, 9.924E-01, 0.6%
208, 7.969E-19, 0.2%, 7.420E-19, 0.2%, 7.935E-19, 0.5%, 1.004E+00, 0.5%
209, 7.954E-19, 0.2%, 7.407E-19, 0.2%, 7.940E-19, 0.4%, 1.002E+00, 0.5%
210, 7.967E-19, 0.2%, 7.419E-19, 0.2%, 7.906E-19, 0.4%, 1.008E+00, 0.5%
211, 7.944E-19, 0.2%, 7.397E-19, 0.2%, 7.858E-19, 0.4%, 1.011E+00, 0.4%
212, 7.945E-19, 0.2%, 7.398E-19, 0.2%, 7.862E-19, 0.4%, 1.011E+00, 0.4%
213, 7.931E-19, 0.2%, 7.384E-19, 0.2%, 7.890E-19, 0.4%, 1.005E+00, 0.5%
214, 7.919E-19, 0.2%, 7.373E-19, 0.2%, 7.903E-19, 0.5%, 1.002E+00, 0.5%
215, 7.911E-19, 0.2%, 7.366E-19, 0.2%, 7.826E-19, 0.4%, 1.011E+00, 0.4%
216, 7.911E-19, 0.2%, 7.365E-19, 0.2%, 7.945E-19, 0.5%, 9.957E-01, 0.5%
217, 7.926E-19, 0.2%, 7.380E-19, 0.2%, 7.856E-19, 0.4%, 1.009E+00, 0.5%
218, 7.934E-19, 0.2%, 7.388E-19, 0.2%, 7.868E-19, 0.5%, 1.008E+00, 0.5%
219, 7.977E-19, 0.2%, 7.427E-19, 0.2%, 7.898E-19, 0.5%, 1.010E+00, 0.5%
220, 8.115E-19, 0.2%, 7.555E-19, 0.2%, 7.783E-19, 0.4%, 1.043E+00, 0.4%
221, 7.746E-19, 0.1%, 7.179E-19, 0.1%, 7.645E-19, 0.2%, 1.013E+00, 0.2%
222, 7.658E-19, 0.1%, 7.097E-19, 0.1%, 7.632E-19, 0.2%, 1.003E+00, 0.2%
223, 7.589E-19, 0.1%, 7.032E-19, 0.1%, 7.573E-19, 0.2%, 1.002E+00, 0.2%
224, 7.533E-19, 0.1%, 6.980E-19, 0.1%, 7.547E-19, 0.2%, 9.982E-01, 0.3%
225, 7.493E-19, 0.1%, 6.943E-19, 0.1%, 7.474E-19, 0.2%, 1.003E+00, 0.2%
226, 7.440E-19, 0.1%, 6.893E-19, 0.1%, 7.419E-19, 0.2%, 1.003E+00, 0.2%
227, 7.388E-19, 0.1%, 6.845E-19, 0.1%, 7.406E-19, 0.2%, 9.976E-01, 0.3%
228, 7.351E-19, 0.1%, 6.810E-19, 0.1%, 7.381E-19, 0.2%, 9.959E-01, 0.3%
229, 7.316E-19, 0.1%, 6.778E-19, 0.1%, 7.301E-19, 0.2%, 1.002E+00, 0.2%
230, 7.278E-19, 0.2%, 6.742E-19, 0.2%, 7.266E-19, 0.2%, 1.002E+00, 0.3%
231, 7.219E-19, 0.1%, 6.688E-19, 0.1%, 7.203E-19, 0.2%, 1.002E+00, 0.2%
232, 7.173E-19, 0.2%, 6.645E-19, 0.2%, 7.176E-19, 0.2%, 9.997E-01, 0.3%
233, 7.109E-19, 0.1%, 6.585E-19, 0.1%, 7.081E-19, 0.2%, 1.004E+00, 0.2%
234, 7.061E-19, 0.1%, 6.541E-19, 0.1%, 7.074E-19, 0.2%, 9.982E-01, 0.3%
235, 7.000E-19, 0.1%, 6.484E-19, 0.1%, 7.040E-19, 0.2%, 9.943E-01, 0.2%
236, 6.984E-19, 0.2%, 6.469E-19, 0.2%, 6.968E-19, 0.2%, 1.002E+00, 0.2%
237, 6.923E-19, 0.1%, 6.413E-19, 0.1%, 6.943E-19, 0.2%, 9.972E-01, 0.3%
238, 6.882E-19, 0.2%, 6.375E-19, 0.2%, 6.861E-19, 0.2%, 1.003E+00, 0.2%
239, 6.825E-19, 0.1%, 6.321E-19, 0.1%, 6.827E-19, 0.2%, 9.998E-01, 0.3%
240, 6.776E-19, 0.1%, 6.275E-19, 0.1%, 6.767E-19, 0.2%, 1.001E+00, 0.3%
241, 6.729E-19, 0.1%, 6.232E-19, 0.1%, 6.731E-19, 0.2%, 9.998E-01, 0.3%
242, 6.671E-19, 0.1%, 6.178E-19, 0.1%, 6.656E-19, 0.2%, 1.002E+00, 0.2%
243, 6.629E-19, 0.2%, 6.139E-19, 0.2%, 6.628E-19, 0.2%, 1.000E+00, 0.3%
244, 6.568E-19, 0.1%, 6.082E-19, 0.1%, 6.580E-19, 0.2%, 9.981E-01, 0.2%
245, 6.524E-19, 0.1%, 6.042E-19, 0.1%, 6.560E-19, 0.2%, 9.945E-01, 0.3%
246, 6.498E-19, 0.2%, 6.017E-19, 0.2%, 6.472E-19, 0.2%, 1.004E+00, 0.3%
247, 6.436E-19, 0.2%, 5.960E-19, 0.2%, 6.445E-19, 0.2%, 9.986E-01, 0.3%
248, 6.387E-19, 0.2%, 5.914E-19, 0.2%, 6.374E-19, 0.2%, 1.002E+00, 0.2%
249, 6.331E-19, 0.1%, 5.863E-19, 0.1%, 6.346E-19, 0.2%, 9.977E-01, 0.3%
250, 6.281E-19, 0.2%, 5.817E-19, 0.2%, 6.257E-19, 0.2%, 1.004E+00, 0.2%
251, 6.221E-19, 0.1%, 5.760E-19, 0.1%, 6.236E-19, 0.2%, 9.976E-01, 0.3%
252, 6.191E-19, 0.1%, 5.733E-19, 0.2%, 6.187E-19, 0.2%, 1.001E+00, 0.2%
253, 6.139E-19, 0.2%, 5.685E-19, 0.2%, 6.125E-19, 0.2%, 1.002E+00, 0.3%
254, 6.079E-19, 0.1%, 5.629E-19, 0.1%, 6.083E-19, 0.2%, 9.994E-01, 0.3%
255, 6.026E-19, 0.1%, 5.579E-19, 0.1%, 6.053E-19, 0.2%, 9.955E-01, 0.2%
256, 5.997E-19, 0.2%, 5.553E-19, 0.2%, 5.999E-19, 0.2%, 9.996E-01, 0.3%
257, 5.942E-19, 0.2%, 5.502E-19, 0.2%, 5.933E-19, 0.2%, 1.002E+00, 0.3%
258, 5.903E-19, 0.2%, 5.466E-19, 0.2%, 5.916E-19, 0.2%, 9.979E-01, 0.3%
259, 5.860E-19, 0.2%, 5.425E-19, 0.2%, 5.882E-19, 0.2%, 9.963E-01, 0.3%
260, 5.750E-19, 0.2%, 5.323E-19, 0.2%, 5.800E-19, 0.2%, 9.915E-01, 0.3%
261, 5.753E-19, 0.2%, 5.353E-19, 0.2%, 5.864E-19, 0.5%, 9.810E-01, 0.6%
262, 5.752E-19, 0.2%, 5.352E-19, 0.2%, 5.787E-19, 0.4%, 9.939E-01, 0.5%
263, 5.762E-19, 0.2%, 5.361E-19, 0.2%, 5.789E-19, 0.4%, 9.953E-01, 0.5%
264, 5.749E-19, 0.2%, 5.348E-19, 0.2%, 5.791E-19, 0.5%, 9.928E-01, 0.5%
265, 5.753E-19, 0.2%, 5.352E-19, 0.2%, 5.805E-19, 0.5%, 9.911E-01, 0.5%
266, 5.754E-19, 0.2%, 5.353E-19, 0.2%, 5.782E-19, 0.5%, 9.951E-01, 0.5%
267, 5.759E-19, 0.2%, 5.358E-19, 0.2%, 5.761E-19, 0.4%, 9.996E-01, 0.5%
268, 5.752E-19, 0.2%, 5.351E-19, 0.2%, 5.743E-19, 0.4%, 1.002E+00, 0.5%
269, 5.742E-19, 0.2%, 5.342E-19, 0.2%, 5.750E-19, 0.5%, 9.987E-01, 0.5%
270, 5.729E-19, 0.2%, 5.329E-19, 0.2%, 5.685E-19, 0.3%, 1.008E+00, 0.4%
271, 5.719E-19, 0.2%, 5.320E-19, 0.2%, 5.749E-19, 0.5%, 9.948E-01, 0.6%
272, 5.721E-19, 0.2%, 5.323E-19, 0.2%, 5.702E-19, 0.5%, 1.003E+00, 0.5%
273, 5.703E-19, 0.2%, 5.305E-19, 0.2%, 5.682E-19, 0.5%, 1.004E+00, 0.5%
274, 5.685E-19, 0.2%, 5.289E-19, 0.2%, 5.709E-19, 0.5%, 9.958E-01, 0.5%
275, 5.683E-19, 0.2%, 5.287E-19, 0.2%, 5.665E-19, 0.5%, 1.003E+00, 0.5%
276, 5.665E-19, 0.2%, 5.270E-19, 0.2%, 5.732E-19, 0.6%, 9.883E-01, 0.6%
277, 5.668E-19, 0.2%, 5.273E-19, 0.2%, 5.614E-19, 0.4%, 1.010E+00, 0.4%
278, 5.665E-19, 0.2%, 5.270E-19, 0.2%, 5.671E-19, 0.5%, 9.989E-01, 0.6%
279, 5.643E-19, 0.2%, 5.250E-19, 0.2%, 5.617E-19, 0.5%, 1.005E+00, 0.5%
280, 5.635E-19, 0.2%, 5.242E-19, 0.2%, 5.636E-19, 0.5%, 9.998E-01, 0.5%
281, 5.621E-19, 0.2%, 5.229E-19, 0.2%, 5.612E-19, 0.2%, 1.002E+00, 0.3%
282, 5.571E-19, 0.2%, 5.183E-19, 0.2%, 5.555E-19, 0.2%, 1.003E+00, 0.3%
283, 5.519E-19, 0.1%, 5.135E-19, 0.1%, 5.512E-19, 0.2%, 1.001E+00, 0.3%
284, 5.475E-19, 0.2%, 5.093E-19, 0.2%, 5.456E-19, 0.2%, 1.003E+00, 0.3%
285, 5.419E-19, 0.1%, 5.042E-19, 0.1%, 5.420E-19, 0.2%, 9.999E-01, 0.3%
286, 5.379E-19, 0.1%, 5.004E-19, 0.1%, 5.375E-19, 0.2%, 1.001E+00, 0.3%
287, 5.343E-19, 0.2%, 4.971E-19, 0.2%, 5.317E-19, 0.2%, 1.005E+00, 0.3%
288, 5.292E-19, 0.2%, 4.923E-19, 0.2%, 5.260E-19, 0.2%, 1.006E+00, 0.3%
289, 5.231E-19, 0.1%, 4.867E-19, 0.1%, 5.207E-19, 0.2%, 1.005E+00, 0.3%
290, 5.191E-19, 0.2%, 4.829E-19, 0.2%, 5.178E-19, 0.2%, 1.003E+00, 0.3%
291, 5.135E-19, 0.1%, 4.778E-19, 0.1%, 5.117E-19, 0.2%, 1.004E+00, 0.3%
292, 5.084E-19, 0.1%, 4.730E-19, 0.1%, 5.081E-19, 0.2%, 1.000E+00, 0.3%
293, 5.040E-19, 0.1%, 4.689E-19, 0.1%, 5.038E-19, 0.2%, 1.000E+00, 0.3%
294, 4.997E-19, 0.1%, 4.649E-19, 0.1%, 4.991E-19, 0.2%, 1.001E+00, 0.3%
295, 4.963E-19, 0.2%, 4.618E-19, 0.2%, 4.945E-19, 0.2%, 1.004E+00, 0.3%
296, 4.914E-19, 0.2%, 4.572E-19, 0.2%, 4.893E-19, 0.2%, 1.004E+00, 0.3%
297, 4.862E-19, 0.2%, 4.524E-19, 0.2%, 4.834E-19, 0.2%, 1.006E+00, 0.3%
298, 4.809E-19, 0.1%, 4.474E-19, 0.1%, 4.797E-19, 0.2%, 1.002E+00, 0.3%
299, 4.759E-19, 0.1%, 4.428E-19, 0.1%, 4.744E-19, 0.2%, 1.003E+00, 0.3%
300, 4.712E-19, 0.1%, 4.384E-19, 0.1%, 4.704E-19, 0.2%, 1.002E+00, 0.2%
301, 4.676E-19, 0.1%, 4.351E-19, 0.1%, 4.668E-19, 0.2%, 1.002E+00, 0.3%
302, 4.636E-19, 0.1%, 4.313E-19, 0.1%, 4.621E-19, 0.2%, 1.003E+00, 0.2%
303, 4.598E-19, 0.1%, 4.278E-19, 0.1%, 4.610E-19, 0.2%, 9.973E-01, 0.3%
304, 4.555E-19, 0.1%, 4.238E-19, 0.1%, 4.538E-19, 0.2%, 1.004E+00, 0.3%
305, 4.513E-19, 0.1%, 4.199E-19, 0.1%, 4.478E-19, 0.2%, 1.008E+00, 0.2%
306, 4.465E-19, 0.1%, 4.154E-19, 0.1%, 4.447E-19, 0.2%, 1.004E+00, 0.2%
307, 4.422E-19, 0.1%, 4.114E-19, 0.1%, 4.429E-19, 0.3%, 9.985E-01, 0.3%
308, 4.386E-19, 0.1%, 4.081E-19, 0.1%, 4.375E-19, 0.2%, 1.002E+00, 0.3%
309, 4.345E-19, 0.1%, 4.043E-19, 0.1%, 4.345E-19, 0.2%, 9.999E-01, 0.3%
310, 4.306E-19, 0.1%, 4.007E-19, 0.1%, 4.290E-19, 0.2%, 1.004E+00, 0.3%
311, 4.270E-19, 0.2%, 3.974E-19, 0.2%, 4.256E-19, 0.2%, 1.003E+00, 0.3%
312, 4.228E-19, 0.1%, 3.934E-19, 0.1%, 4.216E-19, 0.2%, 1.003E+00, 0.3%
313, 4.181E-19, 0.1%, 3.891E-19, 0.1%, 4.164E-19, 0.2%, 1.004E+00, 0.3%
314, 4.142E-19, 0.1%, 3.855E-19, 0.1%, 4.141E-19, 0.2%, 1.000E+00, 0.3%
315, 4.103E-19, 0.1%, 3.818E-19, 0.1%, 4.084E-19, 0.2%, 1.005E+00, 0.2%
316, 4.068E-19, 0.2%, 3.785E-19, 0.2%, 4.046E-19, 0.2%, 1.005E+00, 0.3%
317, 4.020E-19, 0.1%, 3.741E-19, 0.1%, 4.006E-19, 0.2%, 1.004E+00, 0.2%
318, 3.991E-19, 0.1%, 3.714E-19, 0.1%, 3.981E-19, 0.2%, 1.003E+00, 0.3%
319, 3.946E-19, 0.1%, 3.672E-19, 0.1%, 3.944E-19, 0.2%, 1.001E+00, 0.3%
320, 3.911E-19, 0.1%, 3.640E-19, 0.1%, 3.905E-19, 0.3%, 1.002E+00, 0.3%
321, 3.874E-19, 0.1%, 3.606E-19, 0.1%, 3.867E-19, 0.2%, 1.002E+00, 0.3%
322, 3.837E-19, 0.1%, 3.571E-19, 0.1%, 3.831E-19, 0.2%, 1.001E+00, 0.3%
323, 3.809E-19, 0.1%, 3.545E-19, 0.1%, 3.804E-19, 0.2%, 1.001E+00, 0.3%
324, 3.779E-19, 0.2%, 3.517E-19, 0.2%, 3.757E-19, 0.2%, 1.006E+00, 0.3%
325, 3.732E-19, 0.1%, 3.473E-19, 0.1%, 3.718E-19, 0.2%, 1.004E+00, 0.2%
326, 3.696E-19, 0.1%, 3.439E-19, 0.1%, 3.686E-19, 0.2%, 1.003E+00, 0.3%
327, 3.663E-19, 0.1%, 3.409E-19, 0.1%, 3.667E-19, 0.3%, 9.990E-01, 0.3%
328, 3.630E-19, 0.2%, 3.379E-19, 0.2%, 3.626E-19, 0.3%, 1.001E+00, 0.3%
329, 3.586E-19, 0.1%, 3.337E-19, 0.1%, 3.583E-19, 0.2%, 1.001E+00, 0.3%
330, 3.558E-19, 0.2%, 3.311E-19, 0.2%, 3.561E-19, 0.3%, 9.992E-01, 0.3%
331, 3.525E-19, 0.2%, 3.281E-19, 0.2%, 3.509E-19, 0.2%, 1.005E+00, 0.3%
332, 3.496E-19, 0.2%, 3.254E-19, 0.2%, 3.481E-19, 0.2%, 1.004E+00, 0.3%
333, 3.461E-19, 0.2%, 3.222E-19, 0.2%, 3.444E-19, 0.2%, 1.005E+00, 0.3%
334, 3.423E-19, 0.2%, 3.186E-19, 0.2%, 3.407E-19, 0.2%, 1.005E+00, 0.3%
335, 3.388E-19, 0.1%, 3.154E-19, 0.1%, 3.379E-19, 0.2%, 1.003E+00, 0.3%
336, 3.359E-19, 0.1%, 3.127E-19, 0.1%, 3.346E-19, 0.2%, 1.004E+00, 0.3%
337, 3.322E-19, 0.1%, 3.092E-19, 0.1%, 3.318E-19, 0.3%, 1.001E+00, 0.3%
338, 3.288E-19, 0.1%, 3.061E-19, 0.1%, 3.278E-19, 0.2%, 1.003E+00, 0.2%
339, 3.263E-19, 0.2%, 3.038E-19, 0.2%, 3.247E-19, 0.2%, 1.005E+00, 0.3%
340, 3.228E-19, 0.1%, 3.005E-19, 0.1%, 3.220E-19, 0.2%, 1.003E+00, 0.3%
341, 3.198E-19, 0.1%, 2.977E-19, 0.1%, 3.201E-19, 0.3%, 9.989E-01, 0.3%
342, 3.176E-19, 0.2%, 2.957E-19, 0.2%, 3.173E-19, 0.3%, 1.001E+00, 0.3%
343, 3.140E-19, 0.2%, 2.923E-19, 0.2%, 3.120E-19, 0.2%, 1.006E+00, 0.2%
344, 3.108E-19, 0.2%, 2.894E-19, 0.2%, 3.090E-19, 0.2%, 1.006E+00, 0.3%
345, 3.067E-19, 0.1%, 2.855E-19, 0.1%, 3.054E-19, 0.2%, 1.004E+00, 0.2%
346, 3.036E-19, 0.1%, 2.826E-19, 0.1%, 3.036E-19, 0.2%, 1.000E+00, 0.3%
347, 3.010E-19, 0.1%, 2.802E-19, 0.1%, 3.000E-19, 0.2%, 1.003E+00, 0.3%
348, 2.980E-19, 0.1%, 2.774E-19, 0.1%, 2.974E-19, 0.2%, 1.002E+00, 0.3%
349, 2.950E-19, 0.1%, 2.746E-19, 0.1%, 2.942E-19, 0.2%, 1.002E+00, 0.2%
350, 2.922E-19, 0.1%, 2.721E-19, 0.1%, 2.909E-19, 0.2%, 1.005E+00, 0.2%
351, 2.893E-19, 0.1%, 2.694E-19, 0.1%, 2.895E-19, 0.3%, 9.994E-01, 0.3%
352, 2.860E-19, 0.1%, 2.663E-19, 0.1%, 2.862E-19, 0.3%, 9.990E-01, 0.3%
353, 2.841E-19, 0.1%, 2.645E-19, 0.1%, 2.840E-19, 0.3%, 1.000E+00, 0.3%
354, 2.818E-19, 0.2%, 2.624E-19, 0.2%, 2.807E-19, 0.3%, 1.004E+00, 0.3%
355, 2.786E-19, 0.1%, 2.594E-19, 0.1%, 2.767E-19, 0.2%, 1.007E+00, 0.2%
356, 2.752E-19, 0.1%, 2.563E-19, 0.1%, 2.737E-19, 0.2%, 1.005E+00, 0.2%
357, 2.712E-19, 0.1%, 2.525E-19, 0.1%, 2.709E-19, 0.2%, 1.001E+00, 0.2%
358, 2.659E-19, 0.1%, 2.476E-19, 0.1%, 2.647E-19, 0.1%, 1.004E+00, 0.2%
359, 2.198E-19, 0.0%, 2.048E-19, 0.0%, 2.195E-19, 0.1%, 1.002E+00, 0.1%
