IZ, Param, IX=1, +/-, IX=2, +/-, IX=3, +/-, IX=4, +/-, IX=5, +/-, IX=6, +/-, IX=7, +/-, IX=8, +/-, IX=9, +/-, IX=10, +/-, IX=11, +/-, IX=12, +/-, IX=13, +/-, IX=14, +/-, IX=15, +/-, IX=16, +/-, IX=17, +/-, IX=18, +/-, IX=19, +/-, IX=20, +/-, IX=21, +/-, IX=22, +/-, IX=23, +/-, IX=24, +/-, IX=25, +/-, IX=26, +/-, IX=27, +/-, IX=28, +/-, IX=29, +/-, IX=30, +/-, IX=31, +/-, IX=32, +/-, IX=33, +/-, IX=34, +/-, IX=35, +/-, IX=36, +/-, IX=37, +/-, IX=38, +/-, IX=39, +/-, IX=40, +/-, IX=41, +/-, IX=42, +/-, IX=43, +/-, IX=44, +/-, IX=45, +/-, IX=46, +/-, IX=47, +/-, IX=48, +/-, IX=49, +/-, IX=50, +/-, IX=51, +/-, IX=52, +/-, IX=53, +/-, IX=54, +/-, IX=55, +/-, IX=56, +/-, IX=57, +/-, IX=58, +/-, IX=59, +/-, IX=60, +/-
10, K, 5.071E-17, 61.7%, 6.900E-17, 37.1%, 7.083E-17, 32.6%, 8.795E-17, 22.5%, 1.176E-16, 17.4%, 7.114E-17, 19.3%, 1.041E-16, 15.8%, 9.622E-17, 16.3%, 7.017E-17, 15.2%, 7.583E-17, 13.3%, 8.044E-17, 13.8%, 8.922E-17, 13.0%, 9.379E-17, 12.2%, 6.626E-17, 12.8%, 9.203E-17, 11.2%, 7.820E-17, 10.9%, 7.602E-17, 11.1%, 7.593E-17, 11.5%, 6.970E-17, 11.4%, 6.954E-17, 10.5%, 7.662E-17, 10.1%, 5.833E-17, 11.7%, 6.792E-17, 10.2%, 6.252E-17, 10.5%, 5.642E-17, 10.5%, 4.110E-17, 12.4%, 5.652E-17, 10.6%, 3.672E-17, 12.3%, 4.147E-17, 11.6%, 4.379E-17, 10.9%, 3.447E-17, 12.2%, 2.704E-17, 12.9%, 3.248E-17, 13.1%, 3.290E-17, 12.6%, 2.171E-17, 14.0%, 2.560E-17, 13.7%, 1.902E-17, 16.5%, 1.785E-17, 15.0%, 1.484E-17, 16.4%, 1.043E-17, 18.8%, 5.259E-18, 24.7%, 6.745E-18, 22.1%, 5.530E-18, 24.2%, 6.186E-18, 25.4%, 3.183E-18, 33.3%, 1.348E-18, 31.1%, 1.931E-18, 43.3%, 1.726E-18, 45.5%, 1.000E-18, 46.0%, 7.692E-19, 53.1%, 7.949E-19, 49.8%, 4.366E-19, 60.4%, 1.032E-19, 80.7%, 3.799E-19, 63.2%, 2.836E-19, 77.2%, 4.495E-19, 68.5%, 2.221E-19, 45.5%, 2.204E-19, 61.2%, 3.075E-19, 46.1%, 4.935E-19, 41.6%
10, DK, 5.008E-01, 62.8%, 4.686E-01, 37.9%, 4.464E-01, 33.1%, 3.276E-01, 23.0%, 2.624E-01, 17.8%, 4.374E-01, 19.7%, 2.884E-01, 16.2%, 3.022E-01, 16.6%, 4.124E-01, 15.5%, 3.875E-01, 13.6%, 3.513E-01, 14.1%, 3.211E-01, 13.3%, 3.002E-01, 12.5%, 4.043E-01, 13.0%, 2.909E-01, 11.5%, 3.385E-01, 11.2%, 3.308E-01, 11.4%, 3.383E-01, 11.8%, 3.479E-01, 11.6%, 3.428E-01, 10.7%, 3.081E-01, 10.4%, 3.918E-01, 11.9%, 3.316E-01, 10.4%, 3.407E-01, 10.7%, 3.509E-01, 10.8%, 4.683E-01, 12.6%, 3.352E-01, 10.9%, 5.086E-01, 12.5%, 4.314E-01, 11.8%, 3.728E-01, 11.1%, 4.581E-01, 12.4%, 5.534E-01, 13.1%, 4.559E-01, 13.2%, 4.354E-01, 12.8%, 5.992E-01, 14.2%, 4.697E-01, 13.9%, 5.931E-01, 16.6%, 5.937E-01, 15.1%, 6.768E-01, 16.6%, 9.066E-01, 18.9%, 1.768E+00, 24.8%, 1.298E+00, 22.2%, 1.388E+00, 24.4%, 1.180E+00, 25.5%, 2.247E+00, 33.4%, 4.943E+00, 31.2%, 3.424E+00, 43.4%, 3.484E+00, 45.6%, 5.924E+00, 46.1%, 7.201E+00, 53.2%, 6.280E+00, 49.9%, 1.095E+01, 60.5%, 4.257E+01, 80.8%, 1.162E+01, 63.2%, 1.470E+01, 77.2%, 8.909E+00, 68.6%, 1.689E+01, 45.6%, 1.635E+01, 61.3%, 1.055E+01, 46.2%, 6.060E+00, 41.7%
11, T, 3.010E-17, 2.3%, 2.983E-17, 1.5%, 2.990E-17, 1.3%, 2.959E-17, 1.1%, 2.979E-17, 1.0%, 2.945E-17, 0.9%, 2.911E-17, 0.8%, 2.927E-17, 0.8%, 2.888E-17, 0.7%, 2.868E-17, 0.7%, 2.824E-17, 0.7%, 2.779E-17, 0.6%, 2.725E-17, 0.6%, 2.678E-17, 0.6%, 2.622E-17, 0.6%, 2.588E-17, 0.6%, 2.531E-17, 0.5%, 2.473E-17, 0.5%, 2.406E-17, 0.5%, 2.330E-17, 0.5%, 2.252E-17, 0.5%, 2.200E-17, 0.5%, 2.130E-17, 0.5%, 2.059E-17, 0.5%, 1.996E-17, 0.5%, 1.915E-17, 0.5%, 1.853E-17, 0.5%, 1.771E-17, 0.5%, 1.680E-17, 0.5%, 1.618E-17, 0.5%, 1.540E-17, 0.5%, 1.474E-17, 0.5%, 1.403E-17, 0.5%, 1.333E-17, 0.5%, 1.264E-17, 0.5%, 1.192E-17, 0.5%, 1.119E-17, 0.5%, 1.058E-17, 0.5%, 9.977E-18, 0.5%, 9.393E-18, 0.5%, 8.746E-18, 0.5%, 8.276E-18, 0.5%, 7.771E-18, 0.5%, 7.311E-18, 0.5%, 6.874E-18, 0.6%, 6.507E-18, 0.6%, 6.145E-18, 0.6%, 5.818E-18, 0.6%, 5.481E-18, 0.6%, 5.175E-18, 0.6%, 4.925E-18, 0.6%, 4.694E-18, 0.6%, 4.471E-18, 0.6%, 4.231E-18, 0.6%, 4.024E-18, 0.6%, 3.824E-18, 0.6%, 3.591E-18, 0.6%, 3.387E-18, 0.6%, 3.138E-18, 0.6%, 2.825E-18, 0.6%
11, TS, 2.807E-17, 2.3%, 2.786E-17, 1.5%, 2.791E-17, 1.2%, 2.763E-17, 1.1%, 2.780E-17, 0.9%, 2.748E-17, 0.9%, 2.717E-17, 0.8%, 2.732E-17, 0.8%, 2.695E-17, 0.7%, 2.678E-17, 0.7%, 2.636E-17, 0.6%, 2.594E-17, 0.6%, 2.543E-17, 0.6%, 2.499E-17, 0.6%, 2.449E-17, 0.6%, 2.415E-17, 0.6%, 2.362E-17, 0.5%, 2.309E-17, 0.5%, 2.246E-17, 0.5%, 2.174E-17, 0.5%, 2.102E-17, 0.5%, 2.054E-17, 0.5%, 1.989E-17, 0.5%, 1.922E-17, 0.5%, 1.864E-17, 0.5%, 1.788E-17, 0.5%, 1.730E-17, 0.5%, 1.653E-17, 0.5%, 1.568E-17, 0.5%, 1.510E-17, 0.5%, 1.438E-17, 0.5%, 1.376E-17, 0.5%, 1.310E-17, 0.5%, 1.245E-17, 0.5%, 1.180E-17, 0.5%, 1.113E-17, 0.5%, 1.045E-17, 0.5%, 9.882E-18, 0.5%, 9.317E-18, 0.5%, 8.774E-18, 0.5%, 8.172E-18, 0.5%, 7.728E-18, 0.5%, 7.260E-18, 0.5%, 6.832E-18, 0.5%, 6.423E-18, 0.5%, 6.077E-18, 0.6%, 5.742E-18, 0.6%, 5.435E-18, 0.6%, 5.124E-18, 0.6%, 4.835E-18, 0.6%, 4.602E-18, 0.6%, 4.386E-18, 0.6%, 4.178E-18, 0.6%, 3.955E-18, 0.6%, 3.762E-18, 0.6%, 3.573E-18, 0.6%, 3.357E-18, 0.6%, 3.167E-18, 0.6%, 2.935E-18, 0.6%, 2.646E-18, 0.6%
11, K, 8.564E-17, 9.7%, 9.267E-17, 5.6%, 8.783E-17, 4.3%, 9.260E-17, 3.6%, 8.666E-17, 3.3%, 9.101E-17, 2.9%, 8.503E-17, 2.7%, 9.002E-17, 2.5%, 8.567E-17, 2.4%, 8.670E-17, 2.3%, 8.430E-17, 2.2%, 8.155E-17, 2.1%, 7.894E-17, 2.1%, 8.157E-17, 2.0%, 7.878E-17, 1.9%, 7.399E-17, 1.9%, 7.323E-17, 1.9%, 6.973E-17, 1.9%, 6.745E-17, 1.8%, 6.595E-17, 1.8%, 6.296E-17, 1.8%, 6.014E-17, 1.8%, 5.826E-17, 1.8%, 5.331E-17, 1.8%, 5.306E-17, 1.8%, 4.863E-17, 1.8%, 4.623E-17, 1.8%, 4.453E-17, 1.9%, 4.031E-17, 1.9%, 3.812E-17, 1.9%, 3.546E-17, 2.0%, 3.280E-17, 2.0%, 2.958E-17, 2.1%, 2.754E-17, 2.1%, 2.420E-17, 2.2%, 2.015E-17, 2.4%, 1.862E-17, 2.5%, 1.611E-17, 2.6%, 1.475E-17, 2.7%, 1.166E-17, 3.0%, 9.904E-18, 3.2%, 8.165E-18, 3.5%, 6.525E-18, 3.9%, 5.321E-18, 4.2%, 4.092E-18, 4.7%, 3.107E-18, 5.5%, 2.487E-18, 5.9%, 1.789E-18, 6.7%, 1.308E-18, 7.3%, 9.611E-19, 8.3%, 9.348E-19, 8.4%, 7.254E-19, 9.4%, 6.254E-19, 9.8%, 3.871E-19, 11.1%, 3.625E-19, 11.4%, 3.704E-19, 10.4%, 3.705E-19, 11.1%, 4.032E-19, 8.7%, 3.031E-19, 9.4%, 3.050E-19, 9.7%
11, DK, 3.515E-01, 10.0%, 3.219E-01, 5.8%, 3.405E-01, 4.5%, 3.196E-01, 3.8%, 3.437E-01, 3.4%, 3.236E-01, 3.0%, 3.424E-01, 2.8%, 3.252E-01, 2.6%, 3.371E-01, 2.5%, 3.308E-01, 2.4%, 3.350E-01, 2.3%, 3.407E-01, 2.2%, 3.452E-01, 2.1%, 3.283E-01, 2.0%, 3.329E-01, 2.0%, 3.497E-01, 2.0%, 3.456E-01, 2.0%, 3.547E-01, 1.9%, 3.567E-01, 1.9%, 3.533E-01, 1.9%, 3.576E-01, 1.9%, 3.658E-01, 1.9%, 3.656E-01, 1.9%, 3.863E-01, 1.9%, 3.762E-01, 1.9%, 3.939E-01, 1.9%, 4.009E-01, 1.9%, 3.976E-01, 1.9%, 4.167E-01, 2.0%, 4.244E-01, 2.0%, 4.343E-01, 2.0%, 4.495E-01, 2.1%, 4.743E-01, 2.1%, 4.840E-01, 2.2%, 5.225E-01, 2.3%, 5.913E-01, 2.4%, 6.009E-01, 2.5%, 6.567E-01, 2.7%, 6.764E-01, 2.8%, 8.053E-01, 3.0%, 8.831E-01, 3.3%, 1.014E+00, 3.5%, 1.191E+00, 3.9%, 1.374E+00, 4.2%, 1.680E+00, 4.8%, 2.094E+00, 5.5%, 2.471E+00, 5.9%, 3.252E+00, 6.7%, 4.190E+00, 7.4%, 5.385E+00, 8.3%, 5.268E+00, 8.4%, 6.471E+00, 9.5%, 7.148E+00, 9.9%, 1.093E+01, 11.1%, 1.110E+01, 11.4%, 1.032E+01, 10.4%, 9.692E+00, 11.1%, 8.401E+00, 8.8%, 1.035E+01, 9.4%, 9.262E+00, 9.7%
12, T, 3.399E-17, 11.2%, 3.237E-17, 7.6%, 3.011E-17, 5.6%, 2.968E-17, 5.1%, 2.898E-17, 4.2%, 2.974E-17, 4.0%, 2.884E-17, 3.6%, 2.883E-17, 3.4%, 2.883E-17, 3.1%, 2.757E-17, 3.0%, 2.838E-17, 2.9%, 2.779E-17, 2.8%, 2.615E-17, 2.6%, 2.559E-17, 2.5%, 2.453E-17, 2.6%, 2.541E-17, 2.5%, 2.379E-17, 2.4%, 2.344E-17, 2.4%, 2.306E-17, 2.4%, 2.317E-17, 2.4%, 2.165E-17, 2.3%, 2.155E-17, 2.3%, 2.137E-17, 2.2%, 1.955E-17, 2.3%, 1.935E-17, 2.2%, 1.858E-17, 2.2%, 1.718E-17, 2.2%, 1.727E-17, 2.2%, 1.699E-17, 2.2%, 1.593E-17, 2.2%, 1.542E-17, 2.2%, 1.473E-17, 2.2%, 1.388E-17, 2.3%, 1.296E-17, 2.3%, 1.218E-17, 2.3%, 1.194E-17, 2.3%, 1.094E-17, 2.3%, 1.041E-17, 2.3%, 1.001E-17, 2.4%, 9.265E-18, 2.4%, 8.900E-18, 2.4%, 8.206E-18, 2.5%, 7.670E-18, 2.6%, 7.008E-18, 2.5%, 6.690E-18, 2.6%, 6.463E-18, 2.7%, 6.190E-18, 2.6%, 5.844E-18, 2.7%, 5.461E-18, 2.7%, 5.234E-18, 2.8%, 4.976E-18, 2.7%, 4.657E-18, 2.9%, 4.301E-18, 2.8%, 4.234E-18, 2.9%, 3.898E-18, 2.9%, 3.464E-18, 2.9%, 3.534E-18, 3.2%, 3.323E-18, 3.0%, 3.212E-18, 3.2%, 2.792E-18, 2.9%
12, TS, 3.219E-17, 11.0%, 3.008E-17, 7.5%, 2.822E-17, 5.5%, 2.760E-17, 5.0%, 2.707E-17, 4.1%, 2.780E-17, 4.0%, 2.690E-17, 3.6%, 2.694E-17, 3.4%, 2.695E-17, 3.1%, 2.578E-17, 3.0%, 2.651E-17, 2.8%, 2.594E-17, 2.7%, 2.438E-17, 2.6%, 2.387E-17, 2.5%, 2.294E-17, 2.5%, 2.376E-17, 2.4%, 2.226E-17, 2.4%, 2.189E-17, 2.4%, 2.152E-17, 2.4%, 2.161E-17, 2.3%, 2.021E-17, 2.2%, 2.010E-17, 2.2%, 1.991E-17, 2.2%, 1.823E-17, 2.2%, 1.809E-17, 2.1%, 1.735E-17, 2.2%, 1.603E-17, 2.2%, 1.611E-17, 2.2%, 1.588E-17, 2.2%, 1.488E-17, 2.2%, 1.440E-17, 2.2%, 1.374E-17, 2.2%, 1.297E-17, 2.2%, 1.211E-17, 2.3%, 1.138E-17, 2.3%, 1.116E-17, 2.3%, 1.024E-17, 2.3%, 9.736E-18, 2.3%, 9.345E-18, 2.4%, 8.640E-18, 2.4%, 8.298E-18, 2.4%, 7.659E-18, 2.4%, 7.167E-18, 2.6%, 6.564E-18, 2.5%, 6.266E-18, 2.5%, 6.059E-18, 2.6%, 5.791E-18, 2.6%, 5.461E-18, 2.6%, 5.100E-18, 2.7%, 4.893E-18, 2.8%, 4.651E-18, 2.7%, 4.341E-18, 2.8%, 4.016E-18, 2.8%, 3.957E-18, 2.9%, 3.642E-18, 2.9%, 3.252E-18, 2.8%, 3.301E-18, 3.2%, 3.109E-18, 2.9%, 3.011E-18, 3.1%, 2.614E-18, 2.9%
12, K, 1.195E-16, 40.4%, 1.152E-16, 31.9%, 1.175E-16, 25.8%, 5.921E-17, 22.9%, 8.965E-17, 21.0%, 9.857E-17, 17.7%, 1.133E-16, 15.0%, 9.573E-17, 16.3%, 5.902E-17, 16.9%, 7.935E-17, 14.1%, 9.205E-17, 13.6%, 7.715E-17, 13.4%, 9.770E-17, 12.0%, 7.300E-17, 12.9%, 7.543E-17, 12.0%, 8.398E-17, 11.6%, 7.805E-17, 10.9%, 6.866E-17, 11.8%, 7.543E-17, 10.4%, 6.850E-17, 11.3%, 7.153E-17, 10.4%, 7.193E-17, 10.5%, 6.060E-17, 10.8%, 5.271E-17, 11.4%, 5.643E-17, 11.2%, 4.195E-17, 12.2%, 4.646E-17, 11.8%, 3.921E-17, 11.6%, 3.657E-17, 12.3%, 4.103E-17, 11.6%, 3.506E-17, 11.9%, 3.587E-17, 12.0%, 3.558E-17, 11.9%, 2.344E-17, 13.6%, 2.112E-17, 14.1%, 2.083E-17, 14.1%, 1.622E-17, 14.6%, 1.358E-17, 17.0%, 1.959E-17, 14.4%, 1.318E-17, 17.7%, 1.248E-17, 20.5%, 6.274E-18, 25.0%, 6.763E-18, 23.0%, 4.146E-18, 25.6%, 4.112E-18, 27.6%, 2.890E-18, 28.5%, 1.509E-18, 35.7%, 3.142E-18, 36.5%, 8.584E-19, 35.9%, 1.705E-18, 34.0%, 5.720E-19, 70.9%, 8.878E-19, 54.8%, 1.288E-19, 89.7%, 8.128E-19, 59.0%, 3.896E-19, 43.4%, 2.861E-20, 95.0%, 1.903E-19, 71.0%, 7.488E-19, 60.6%, 4.024E-20, 73.8%, 4.306E-19, 54.9%
12, DK, 2.845E-01, 41.9%, 2.810E-01, 32.8%, 2.563E-01, 26.4%, 5.013E-01, 23.5%, 3.233E-01, 21.4%, 3.017E-01, 18.1%, 2.545E-01, 15.4%, 3.012E-01, 16.6%, 4.884E-01, 17.2%, 3.474E-01, 14.4%, 3.083E-01, 13.9%, 3.603E-01, 13.7%, 2.677E-01, 12.3%, 3.505E-01, 13.1%, 3.252E-01, 12.3%, 3.026E-01, 11.9%, 3.048E-01, 11.2%, 3.414E-01, 12.0%, 3.057E-01, 10.6%, 3.382E-01, 11.6%, 3.027E-01, 10.7%, 2.995E-01, 10.7%, 3.526E-01, 11.0%, 3.709E-01, 11.7%, 3.429E-01, 11.4%, 4.429E-01, 12.4%, 3.697E-01, 12.0%, 4.405E-01, 11.8%, 4.645E-01, 12.5%, 3.881E-01, 11.8%, 4.397E-01, 12.1%, 4.106E-01, 12.2%, 3.901E-01, 12.1%, 5.530E-01, 13.8%, 5.768E-01, 14.3%, 5.733E-01, 14.3%, 6.748E-01, 14.8%, 7.671E-01, 17.2%, 5.106E-01, 14.6%, 7.031E-01, 17.9%, 7.129E-01, 20.6%, 1.308E+00, 25.1%, 1.134E+00, 23.1%, 1.690E+00, 25.7%, 1.627E+00, 27.7%, 2.236E+00, 28.6%, 4.102E+00, 35.8%, 1.860E+00, 36.6%, 6.362E+00, 36.0%, 3.070E+00, 34.1%, 8.698E+00, 70.9%, 5.245E+00, 54.8%, 3.339E+01, 89.8%, 5.209E+00, 59.0%, 1.001E+01, 43.5%, 1.211E+02, 95.1%, 1.857E+01, 71.1%, 4.438E+00, 60.6%, 7.982E+01, 73.9%, 6.484E+00, 55.0%
13, T, 2.879E-17, 3.2%, 2.982E-17, 2.2%, 2.956E-17, 1.7%, 2.879E-17, 1.5%, 2.879E-17, 1.3%, 2.874E-17, 1.2%, 2.877E-17, 1.1%, 2.837E-17, 1.0%, 2.801E-17, 1.0%, 2.756E-17, 0.9%, 2.715E-17, 0.9%, 2.694E-17, 0.9%, 2.643E-17, 0.8%, 2.600E-17, 0.8%, 2.568E-17, 0.8%, 2.510E-17, 0.8%, 2.474E-17, 0.8%, 2.405E-17, 0.7%, 2.336E-17, 0.7%, 2.288E-17, 0.7%, 2.209E-17, 0.7%, 2.121E-17, 0.7%, 2.068E-17, 0.7%, 1.999E-17, 0.7%, 1.931E-17, 0.7%, 1.878E-17, 0.7%, 1.784E-17, 0.7%, 1.732E-17, 0.7%, 1.668E-17, 0.7%, 1.587E-17, 0.7%, 1.525E-17, 0.7%, 1.457E-17, 0.7%, 1.392E-17, 0.7%, 1.316E-17, 0.7%, 1.239E-17, 0.7%, 1.176E-17, 0.7%, 1.104E-17, 0.7%, 1.048E-17, 0.7%, 9.847E-18, 0.7%, 9.352E-18, 0.7%, 8.736E-18, 0.7%, 8.273E-18, 0.7%, 7.657E-18, 0.7%, 7.279E-18, 0.8%, 6.845E-18, 0.8%, 6.404E-18, 0.8%, 6.011E-18, 0.8%, 5.748E-18, 0.8%, 5.425E-18, 0.8%, 5.131E-18, 0.8%, 4.899E-18, 0.8%, 4.603E-18, 0.8%, 4.355E-18, 0.8%, 4.141E-18, 0.8%, 3.916E-18, 0.9%, 3.693E-18, 0.9%, 3.467E-18, 0.9%, 3.303E-18, 0.9%, 3.012E-18, 0.9%, 2.728E-18, 0.8%
13, TS, 2.683E-17, 3.2%, 2.785E-17, 2.1%, 2.758E-17, 1.7%, 2.689E-17, 1.5%, 2.688E-17, 1.3%, 2.683E-17, 1.2%, 2.685E-17, 1.1%, 2.648E-17, 1.0%, 2.615E-17, 1.0%, 2.573E-17, 0.9%, 2.534E-17, 0.9%, 2.515E-17, 0.9%, 2.466E-17, 0.8%, 2.427E-17, 0.8%, 2.398E-17, 0.8%, 2.344E-17, 0.8%, 2.310E-17, 0.8%, 2.245E-17, 0.7%, 2.181E-17, 0.7%, 2.135E-17, 0.7%, 2.062E-17, 0.7%, 1.980E-17, 0.7%, 1.931E-17, 0.7%, 1.866E-17, 0.7%, 1.803E-17, 0.7%, 1.753E-17, 0.7%, 1.666E-17, 0.7%, 1.617E-17, 0.7%, 1.557E-17, 0.7%, 1.482E-17, 0.7%, 1.424E-17, 0.7%, 1.360E-17, 0.7%, 1.299E-17, 0.7%, 1.229E-17, 0.7%, 1.157E-17, 0.7%, 1.098E-17, 0.7%, 1.031E-17, 0.7%, 9.790E-18, 0.7%, 9.195E-18, 0.7%, 8.736E-18, 0.7%, 8.158E-18, 0.7%, 7.724E-18, 0.7%, 7.153E-18, 0.7%, 6.795E-18, 0.8%, 6.395E-18, 0.8%, 5.983E-18, 0.8%, 5.618E-18, 0.8%, 5.371E-18, 0.8%, 5.071E-18, 0.8%, 4.796E-18, 0.8%, 4.576E-18, 0.8%, 4.303E-18, 0.8%, 4.072E-18, 0.8%, 3.869E-18, 0.8%, 3.659E-18, 0.8%, 3.453E-18, 0.9%, 3.242E-18, 0.8%, 3.085E-18, 0.9%, 2.816E-18, 0.8%, 2.552E-18, 0.8%
13, K, 5.362E-17, 14.9%, 8.904E-17, 8.2%, 8.957E-17, 6.1%, 8.914E-17, 5.2%, 8.728E-17, 4.8%, 8.535E-17, 4.3%, 8.610E-17, 3.9%, 8.460E-17, 3.7%, 8.078E-17, 3.5%, 8.403E-17, 3.3%, 8.178E-17, 3.2%, 7.801E-17, 3.1%, 7.656E-17, 3.0%, 7.645E-17, 2.9%, 7.485E-17, 2.8%, 7.510E-17, 2.8%, 6.955E-17, 2.7%, 6.895E-17, 2.7%, 6.504E-17, 2.6%, 6.679E-17, 2.6%, 6.185E-17, 2.6%, 5.845E-17, 2.6%, 5.589E-17, 2.6%, 5.477E-17, 2.6%, 5.071E-17, 2.6%, 4.883E-17, 2.6%, 4.717E-17, 2.6%, 4.380E-17, 2.7%, 4.074E-17, 2.7%, 3.908E-17, 2.8%, 3.475E-17, 2.8%, 3.134E-17, 2.9%, 2.851E-17, 3.0%, 2.644E-17, 3.1%, 2.409E-17, 3.2%, 2.167E-17, 3.4%, 1.900E-17, 3.5%, 1.757E-17, 3.6%, 1.519E-17, 3.8%, 1.206E-17, 4.3%, 1.022E-17, 4.5%, 9.184E-18, 4.7%, 7.824E-18, 4.9%, 5.798E-18, 5.9%, 5.069E-18, 6.2%, 3.698E-18, 7.0%, 2.692E-18, 8.2%, 2.549E-18, 8.4%, 1.735E-18, 9.6%, 1.235E-18, 11.3%, 9.095E-19, 12.0%, 7.291E-19, 13.3%, 7.188E-19, 13.2%, 3.853E-19, 15.8%, 4.714E-19, 15.3%, 3.864E-19, 16.6%, 3.339E-19, 15.7%, 3.398E-19, 14.7%, 3.171E-19, 15.2%, 2.884E-19, 14.2%
