IRL, Te-, +-, E1, +-, Tph, +-, E2, +-, Te+, +-, E3, +-, Pe-, +-, E4, +-, Pph, +-, E5, +-, Pe+, +-, E6, +-
67, 8.317E-08, 0.8%, 1.141E+00, 0.7%, 1.046E-05, 0.5%, 1.886E+00, 0.3%, 1.046E-09, 6.6%, 1.398E+00, 4.4%, 7.942E-08, 0.8%, 1.188E+00, 0.7%, 1.046E-05, 0.5%, 1.886E+00, 0.3%, 1.046E-09, 6.6%, 1.398E+00, 4.4%
68, 8.165E-08, 0.8%, 1.128E+00, 0.8%, 1.039E-05, 0.5%, 1.888E+00, 0.3%, 1.060E-09, 6.4%, 1.351E+00, 4.3%, 7.791E-08, 0.8%, 1.175E+00, 0.7%, 1.039E-05, 0.5%, 1.888E+00, 0.3%, 1.060E-09, 6.4%, 1.351E+00, 4.3%
69, 8.085E-08, 0.8%, 1.118E+00, 0.7%, 1.032E-05, 0.5%, 1.888E+00, 0.3%, 9.860E-10, 6.8%, 1.428E+00, 4.2%, 7.700E-08, 0.8%, 1.167E+00, 0.7%, 1.032E-05, 0.5%, 1.888E+00, 0.3%, 9.860E-10, 6.8%, 1.428E+00, 4.2%
70, 8.141E-08, 0.8%, 1.115E+00, 0.7%, 1.025E-05, 0.5%, 1.889E+00, 0.3%, 1.000E-09, 6.7%, 1.350E+00, 4.3%, 7.755E-08, 0.8%, 1.163E+00, 0.7%, 1.025E-05, 0.5%, 1.889E+00, 0.3%, 1.000E-09, 6.7%, 1.350E+00, 4.3%
71, 7.993E-08, 0.8%, 1.132E+00, 0.7%, 1.018E-05, 0.5%, 1.890E+00, 0.3%, 1.041E-09, 6.6%, 1.333E+00, 4.4%, 7.624E-08, 0.8%, 1.180E+00, 0.7%, 1.018E-05, 0.5%, 1.890E+00, 0.3%, 1.041E-09, 6.6%, 1.333E+00, 4.4%
72, 8.094E-08, 0.8%, 1.142E+00, 0.8%, 1.010E-05, 0.5%, 1.891E+00, 0.3%, 1.207E-09, 6.5%, 1.416E+00, 4.1%, 7.730E-08, 0.8%, 1.189E+00, 0.7%, 1.010E-05, 0.5%, 1.891E+00, 0.3%, 1.207E-09, 6.5%, 1.416E+00, 4.1%
73, 8.056E-08, 0.8%, 1.137E+00, 0.8%, 1.003E-05, 0.5%, 1.893E+00, 0.3%, 1.109E-09, 6.4%, 1.459E+00, 4.3%, 7.692E-08, 0.8%, 1.183E+00, 0.7%, 1.003E-05, 0.5%, 1.893E+00, 0.3%, 1.109E-09, 6.4%, 1.459E+00, 4.3%
74, 7.858E-08, 0.8%, 1.134E+00, 0.8%, 9.961E-06, 0.5%, 1.893E+00, 0.3%, 1.206E-09, 6.5%, 1.501E+00, 4.5%, 7.491E-08, 0.8%, 1.183E+00, 0.8%, 9.960E-06, 0.5%, 1.893E+00, 0.3%, 1.206E-09, 6.5%, 1.501E+00, 4.5%
75, 7.844E-08, 0.8%, 1.125E+00, 0.8%, 9.900E-06, 0.5%, 1.893E+00, 0.3%, 1.085E-09, 6.6%, 1.365E+00, 4.5%, 7.480E-08, 0.8%, 1.173E+00, 0.8%, 9.898E-06, 0.5%, 1.893E+00, 0.3%, 1.085E-09, 6.6%, 1.365E+00, 4.5%
76, 7.889E-08, 0.8%, 1.123E+00, 0.8%, 9.845E-06, 0.5%, 1.891E+00, 0.3%, 1.019E-09, 6.6%, 1.259E+00, 4.6%, 7.504E-08, 0.8%, 1.172E+00, 0.8%, 9.843E-06, 0.5%, 1.892E+00, 0.3%, 1.019E-09, 6.6%, 1.259E+00, 4.6%
77, 9.951E-08, 0.9%, 1.056E+00, 0.8%, 9.823E-06, 0.5%, 1.886E+00, 0.3%, 1.297E-09, 6.9%, 1.201E+00, 4.9%, 9.472E-08, 0.9%, 1.102E+00, 0.8%, 9.821E-06, 0.5%, 1.887E+00, 0.3%, 1.297E-09, 6.9%, 1.201E+00, 4.9%
78, 1.182E-07, 0.8%, 1.043E+00, 0.7%, 9.786E-06, 0.5%, 1.884E+00, 0.3%, 1.567E-09, 6.3%, 1.267E+00, 3.7%, 1.120E-07, 0.8%, 1.091E+00, 0.7%, 9.783E-06, 0.5%, 1.884E+00, 0.3%, 1.567E-09, 6.3%, 1.267E+00, 3.7%
79, 1.316E-07, 0.7%, 1.039E+00, 0.7%, 9.742E-06, 0.5%, 1.883E+00, 0.3%, 1.977E-09, 5.6%, 1.180E+00, 3.8%, 1.247E-07, 0.7%, 1.088E+00, 0.7%, 9.739E-06, 0.5%, 1.884E+00, 0.3%, 1.977E-09, 5.6%, 1.180E+00, 3.8%
80, 1.391E-07, 1.2%, 1.047E+00, 1.1%, 9.682E-06, 0.5%, 1.884E+00, 0.3%, 2.206E-09, 5.3%, 1.262E+00, 3.4%, 1.319E-07, 1.1%, 1.096E+00, 1.0%, 9.679E-06, 0.5%, 1.884E+00, 0.3%, 2.206E-09, 5.3%, 1.262E+00, 3.4%
81, 1.413E-07, 0.7%, 1.054E+00, 0.6%, 9.615E-06, 0.5%, 1.885E+00, 0.3%, 2.111E-09, 5.5%, 1.257E+00, 3.6%, 1.340E-07, 0.7%, 1.102E+00, 0.6%, 9.612E-06, 0.5%, 1.886E+00, 0.3%, 2.111E-09, 5.5%, 1.257E+00, 3.6%
82, 1.445E-07, 0.6%, 1.058E+00, 0.5%, 9.518E-06, 0.5%, 1.888E+00, 0.3%, 2.049E-09, 4.3%, 1.225E+00, 2.9%, 1.366E-07, 0.6%, 1.109E+00, 0.5%, 9.515E-06, 0.5%, 1.889E+00, 0.3%, 2.049E-09, 4.3%, 1.225E+00, 2.9%
83, 1.455E-07, 0.6%, 1.075E+00, 0.5%, 9.383E-06, 0.5%, 1.893E+00, 0.3%, 2.180E-09, 4.3%, 1.209E+00, 3.0%, 1.377E-07, 0.6%, 1.127E+00, 0.5%, 9.380E-06, 0.5%, 1.893E+00, 0.3%, 2.180E-09, 4.3%, 1.209E+00, 3.0%
84, 1.448E-07, 0.6%, 1.077E+00, 0.5%, 9.250E-06, 0.5%, 1.896E+00, 0.3%, 2.171E-09, 4.2%, 1.215E+00, 2.9%, 1.371E-07, 0.6%, 1.127E+00, 0.5%, 9.247E-06, 0.5%, 1.897E+00, 0.3%, 2.171E-09, 4.2%, 1.215E+00, 2.9%
85, 1.453E-07, 0.6%, 1.077E+00, 0.5%, 9.115E-06, 0.5%, 1.901E+00, 0.3%, 2.155E-09, 4.2%, 1.194E+00, 2.9%, 1.373E-07, 0.6%, 1.129E+00, 0.5%, 9.112E-06, 0.5%, 1.902E+00, 0.3%, 2.155E-09, 4.2%, 1.194E+00, 2.9%
86, 1.431E-07, 0.6%, 1.075E+00, 0.5%, 8.988E-06, 0.5%, 1.906E+00, 0.3%, 1.992E-09, 4.4%, 1.240E+00, 2.9%, 1.354E-07, 0.6%, 1.126E+00, 0.5%, 8.985E-06, 0.5%, 1.907E+00, 0.3%, 1.992E-09, 4.4%, 1.240E+00, 2.9%
87, 1.429E-07, 0.6%, 1.076E+00, 0.5%, 8.850E-06, 0.5%, 1.911E+00, 0.3%, 1.995E-09, 4.3%, 1.220E+00, 3.1%, 1.353E-07, 0.6%, 1.127E+00, 0.5%, 8.846E-06, 0.5%, 1.912E+00, 0.3%, 1.995E-09, 4.3%, 1.220E+00, 3.1%
88, 1.401E-07, 0.6%, 1.077E+00, 0.5%, 8.715E-06, 0.5%, 1.916E+00, 0.3%, 2.086E-09, 4.3%, 1.270E+00, 2.7%, 1.325E-07, 0.6%, 1.129E+00, 0.5%, 8.712E-06, 0.5%, 1.916E+00, 0.3%, 2.086E-09, 4.3%, 1.270E+00, 2.7%
89, 1.378E-07, 0.6%, 1.081E+00, 0.5%, 8.574E-06, 0.5%, 1.922E+00, 0.3%, 1.951E-09, 4.5%, 1.284E+00, 2.8%, 1.304E-07, 0.6%, 1.132E+00, 0.5%, 8.571E-06, 0.5%, 1.922E+00, 0.3%, 1.951E-09, 4.5%, 1.284E+00, 2.8%
90, 1.359E-07, 0.6%, 1.076E+00, 0.5%, 8.442E-06, 0.5%, 1.927E+00, 0.3%, 2.122E-09, 4.3%, 1.256E+00, 2.8%, 1.285E-07, 0.6%, 1.128E+00, 0.5%, 8.438E-06, 0.5%, 1.927E+00, 0.3%, 2.122E-09, 4.3%, 1.256E+00, 2.8%
91, 1.355E-07, 0.6%, 1.091E+00, 0.5%, 8.311E-06, 0.5%, 1.932E+00, 0.3%, 2.075E-09, 4.3%, 1.179E+00, 2.9%, 1.281E-07, 0.6%, 1.144E+00, 0.5%, 8.308E-06, 0.5%, 1.933E+00, 0.3%, 2.075E-09, 4.3%, 1.179E+00, 2.9%
92, 1.336E-07, 0.6%, 1.096E+00, 0.5%, 8.181E-06, 0.5%, 1.938E+00, 0.3%, 1.996E-09, 4.4%, 1.238E+00, 3.2%, 1.266E-07, 0.6%, 1.147E+00, 0.5%, 8.177E-06, 0.5%, 1.939E+00, 0.3%, 1.996E-09, 4.4%, 1.238E+00, 3.2%
93, 1.310E-07, 0.6%, 1.101E+00, 0.5%, 8.051E-06, 0.5%, 1.943E+00, 0.3%, 1.956E-09, 4.3%, 1.258E+00, 2.9%, 1.240E-07, 0.6%, 1.154E+00, 0.5%, 8.047E-06, 0.5%, 1.944E+00, 0.3%, 1.956E-09, 4.3%, 1.258E+00, 2.9%
94, 1.287E-07, 0.6%, 1.091E+00, 0.5%, 7.931E-06, 0.5%, 1.948E+00, 0.3%, 1.847E-09, 4.6%, 1.188E+00, 3.3%, 1.219E-07, 0.6%, 1.142E+00, 0.5%, 7.924E-06, 0.5%, 1.949E+00, 0.3%, 1.847E-09, 4.6%, 1.188E+00, 3.3%
95, 1.283E-07, 0.6%, 1.094E+00, 0.5%, 7.813E-06, 0.5%, 1.953E+00, 0.3%, 1.936E-09, 4.5%, 1.212E+00, 3.3%, 1.214E-07, 0.6%, 1.145E+00, 0.5%, 7.809E-06, 0.5%, 1.954E+00, 0.3%, 1.936E-09, 4.5%, 1.212E+00, 3.3%
96, 1.271E-07, 0.6%, 1.095E+00, 0.5%, 7.694E-06, 0.5%, 1.958E+00, 0.3%, 2.081E-09, 4.3%, 1.269E+00, 3.2%, 1.202E-07, 0.6%, 1.148E+00, 0.5%, 7.690E-06, 0.5%, 1.959E+00, 0.3%, 2.081E-09, 4.3%, 1.269E+00, 3.2%
97, 1.248E-07, 0.6%, 1.095E+00, 0.5%, 7.576E-06, 0.5%, 1.963E+00, 0.3%, 1.984E-09, 4.4%, 1.189E+00, 3.0%, 1.181E-07, 0.6%, 1.147E+00, 0.5%, 7.573E-06, 0.5%, 1.963E+00, 0.3%, 1.984E-09, 4.4%, 1.189E+00, 3.0%
98, 1.229E-07, 0.6%, 1.097E+00, 0.5%, 7.458E-06, 0.5%, 1.968E+00, 0.3%, 1.963E-09, 4.5%, 1.158E+00, 3.0%, 1.162E-07, 0.6%, 1.150E+00, 0.5%, 7.455E-06, 0.5%, 1.969E+00, 0.3%, 1.963E-09, 4.5%, 1.158E+00, 3.0%
99, 1.218E-07, 0.6%, 1.103E+00, 0.5%, 7.342E-06, 0.5%, 1.973E+00, 0.3%, 1.873E-09, 4.4%, 1.236E+00, 3.2%, 1.150E-07, 0.6%, 1.157E+00, 0.5%, 7.338E-06, 0.5%, 1.974E+00, 0.3%, 1.873E-09, 4.4%, 1.236E+00, 3.2%
100, 1.205E-07, 0.6%, 1.102E+00, 0.5%, 7.232E-06, 0.5%, 1.979E+00, 0.3%, 1.743E-09, 4.7%, 1.160E+00, 3.3%, 1.140E-07, 0.6%, 1.155E+00, 0.5%, 7.228E-06, 0.5%, 1.980E+00, 0.3%, 1.743E-09, 4.7%, 1.160E+00, 3.3%
101, 1.191E-07, 0.6%, 1.110E+00, 0.5%, 7.121E-06, 0.5%, 1.984E+00, 0.3%, 1.864E-09, 4.5%, 1.239E+00, 3.0%, 1.127E-07, 0.6%, 1.163E+00, 0.5%, 7.118E-06, 0.5%, 1.985E+00, 0.3%, 1.864E-09, 4.5%, 1.239E+00, 3.0%
102, 1.175E-07, 0.6%, 1.106E+00, 0.6%, 7.012E-06, 0.5%, 1.989E+00, 0.3%, 1.822E-09, 4.6%, 1.239E+00, 2.9%, 1.113E-07, 0.6%, 1.157E+00, 0.6%, 7.008E-06, 0.5%, 1.989E+00, 0.3%, 1.822E-09, 4.6%, 1.239E+00, 2.9%
103, 1.162E-07, 0.6%, 1.109E+00, 0.6%, 6.907E-06, 0.5%, 1.994E+00, 0.3%, 1.851E-09, 4.5%, 1.147E+00, 3.1%, 1.098E-07, 0.6%, 1.162E+00, 0.5%, 6.904E-06, 0.5%, 1.995E+00, 0.3%, 1.851E-09, 4.5%, 1.147E+00, 3.1%
104, 1.153E-07, 0.6%, 1.098E+00, 0.6%, 6.809E-06, 0.5%, 1.998E+00, 0.3%, 1.836E-09, 4.8%, 1.193E+00, 3.5%, 1.089E-07, 0.6%, 1.152E+00, 0.6%, 6.806E-06, 0.5%, 1.999E+00, 0.3%, 1.836E-09, 4.8%, 1.193E+00, 3.5%
105, 1.133E-07, 0.6%, 1.107E+00, 0.6%, 6.708E-06, 0.5%, 2.003E+00, 0.3%, 1.741E-09, 4.8%, 1.201E+00, 3.1%, 1.074E-07, 0.6%, 1.158E+00, 0.6%, 6.705E-06, 0.5%, 2.004E+00, 0.3%, 1.741E-09, 4.8%, 1.201E+00, 3.1%
106, 1.108E-07, 0.6%, 1.108E+00, 0.6%, 6.610E-06, 0.5%, 2.008E+00, 0.3%, 1.794E-09, 4.5%, 1.290E+00, 3.2%, 1.048E-07, 0.6%, 1.161E+00, 0.6%, 6.607E-06, 0.5%, 2.009E+00, 0.3%, 1.794E-09, 4.5%, 1.290E+00, 3.2%
107, 1.099E-07, 0.6%, 1.110E+00, 0.5%, 6.507E-06, 0.5%, 2.013E+00, 0.3%, 1.674E-09, 4.2%, 1.238E+00, 3.0%, 1.039E-07, 0.6%, 1.164E+00, 0.5%, 6.504E-06, 0.5%, 2.014E+00, 0.3%, 1.674E-09, 4.2%, 1.238E+00, 3.0%
108, 1.076E-07, 0.6%, 1.111E+00, 0.5%, 6.386E-06, 0.5%, 2.019E+00, 0.3%, 1.805E-09, 4.3%, 1.176E+00, 2.9%, 1.015E-07, 0.6%, 1.166E+00, 0.5%, 6.382E-06, 0.5%, 2.020E+00, 0.3%, 1.805E-09, 4.3%, 1.176E+00, 2.9%
109, 1.067E-07, 0.6%, 1.122E+00, 0.5%, 6.259E-06, 0.5%, 2.027E+00, 0.3%, 1.722E-09, 4.5%, 1.218E+00, 3.0%, 1.008E-07, 0.6%, 1.177E+00, 0.5%, 6.256E-06, 0.5%, 2.027E+00, 0.3%, 1.722E-09, 4.5%, 1.218E+00, 3.0%
110, 1.045E-07, 0.6%, 1.122E+00, 0.5%, 6.140E-06, 0.5%, 2.033E+00, 0.3%, 1.637E-09, 4.5%, 1.123E+00, 3.2%, 9.888E-08, 0.6%, 1.176E+00, 0.5%, 6.137E-06, 0.5%, 2.034E+00, 0.3%, 1.637E-09, 4.5%, 1.123E+00, 3.2%
111, 1.032E-07, 0.6%, 1.119E+00, 0.5%, 6.032E-06, 0.5%, 2.040E+00, 0.3%, 1.760E-09, 4.3%, 1.162E+00, 3.0%, 9.761E-08, 0.6%, 1.173E+00, 0.5%, 6.029E-06, 0.5%, 2.041E+00, 0.3%, 1.760E-09, 4.3%, 1.162E+00, 3.0%
112, 1.004E-07, 0.6%, 1.116E+00, 0.5%, 5.921E-06, 0.5%, 2.047E+00, 0.3%, 1.646E-09, 4.5%, 1.232E+00, 3.4%, 9.470E-08, 0.6%, 1.172E+00, 0.5%, 5.918E-06, 0.5%, 2.048E+00, 0.3%, 1.646E-09, 4.5%, 1.232E+00, 3.4%
113, 9.936E-08, 0.6%, 1.111E+00, 0.5%, 5.814E-06, 0.5%, 2.053E+00, 0.3%, 1.511E-09, 4.7%, 1.270E+00, 3.2%, 9.383E-08, 0.6%, 1.165E+00, 0.5%, 5.811E-06, 0.5%, 2.054E+00, 0.3%, 1.511E-09, 4.7%, 1.270E+00, 3.2%
114, 9.780E-08, 0.6%, 1.119E+00, 0.5%, 5.708E-06, 0.5%, 2.060E+00, 0.3%, 1.690E-09, 4.4%, 1.234E+00, 2.8%, 9.251E-08, 0.6%, 1.173E+00, 0.5%, 5.705E-06, 0.5%, 2.061E+00, 0.3%, 1.690E-09, 4.4%, 1.234E+00, 2.8%
115, 9.645E-08, 0.6%, 1.130E+00, 0.6%, 5.607E-06, 0.5%, 2.066E+00, 0.3%, 1.672E-09, 4.4%, 1.181E+00, 3.0%, 9.125E-08, 0.6%, 1.184E+00, 0.6%, 5.604E-06, 0.5%, 2.067E+00, 0.3%, 1.672E-09, 4.4%, 1.181E+00, 3.0%
116, 9.623E-08, 0.6%, 1.129E+00, 0.6%, 5.503E-06, 0.5%, 2.073E+00, 0.3%, 1.479E-09, 4.6%, 1.190E+00, 3.3%, 9.098E-08, 0.6%, 1.184E+00, 0.6%, 5.500E-06, 0.5%, 2.073E+00, 0.3%, 1.479E-09, 4.6%, 1.190E+00, 3.3%
117, 9.342E-08, 0.6%, 1.131E+00, 0.6%, 5.408E-06, 0.5%, 2.078E+00, 0.3%, 1.496E-09, 4.5%, 1.169E+00, 3.2%, 8.833E-08, 0.6%, 1.186E+00, 0.6%, 5.406E-06, 0.5%, 2.079E+00, 0.3%, 1.496E-09, 4.5%, 1.169E+00, 3.2%
118, 9.277E-08, 0.6%, 1.127E+00, 0.6%, 5.307E-06, 0.5%, 2.086E+00, 0.3%, 1.523E-09, 4.6%, 1.170E+00, 3.1%, 8.755E-08, 0.7%, 1.183E+00, 0.6%, 5.304E-06, 0.5%, 2.087E+00, 0.3%, 1.523E-09, 4.6%, 1.170E+00, 3.1%
119, 9.067E-08, 0.7%, 1.147E+00, 0.6%, 5.212E-06, 0.5%, 2.092E+00, 0.3%, 1.527E-09, 4.6%, 1.214E+00, 3.2%, 8.563E-08, 0.7%, 1.204E+00, 0.6%, 5.209E-06, 0.5%, 2.093E+00, 0.3%, 1.527E-09, 4.6%, 1.214E+00, 3.2%
120, 8.960E-08, 0.7%, 1.129E+00, 0.6%, 5.117E-06, 0.5%, 2.097E+00, 0.3%, 1.448E-09, 4.7%, 1.143E+00, 3.4%, 8.455E-08, 0.7%, 1.186E+00, 0.6%, 5.114E-06, 0.5%, 2.098E+00, 0.3%, 1.448E-09, 4.7%, 1.143E+00, 3.4%
121, 8.769E-08, 0.7%, 1.143E+00, 0.6%, 5.022E-06, 0.5%, 2.105E+00, 0.3%, 1.318E-09, 4.9%, 1.162E+00, 3.3%, 8.270E-08, 0.7%, 1.201E+00, 0.6%, 5.019E-06, 0.5%, 2.106E+00, 0.3%, 1.318E-09, 4.9%, 1.162E+00, 3.3%
122, 8.654E-08, 0.7%, 1.149E+00, 0.6%, 4.930E-06, 0.5%, 2.111E+00, 0.3%, 1.462E-09, 4.5%, 1.165E+00, 3.0%, 8.176E-08, 0.7%, 1.205E+00, 0.6%, 4.927E-06, 0.5%, 2.112E+00, 0.3%, 1.462E-09, 4.5%, 1.165E+00, 3.0%
123, 8.571E-08, 0.7%, 1.146E+00, 0.6%, 4.840E-06, 0.5%, 2.118E+00, 0.3%, 1.436E-09, 4.7%, 1.259E+00, 3.2%, 8.105E-08, 0.7%, 1.201E+00, 0.6%, 4.837E-06, 0.5%, 2.119E+00, 0.3%, 1.436E-09, 4.7%, 1.259E+00, 3.2%
124, 8.496E-08, 0.7%, 1.138E+00, 0.6%, 4.752E-06, 0.5%, 2.124E+00, 0.3%, 1.314E-09, 5.1%, 1.142E+00, 3.8%, 8.041E-08, 0.7%, 1.192E+00, 0.6%, 4.750E-06, 0.5%, 2.125E+00, 0.3%, 1.314E-09, 5.1%, 1.142E+00, 3.8%
125, 8.322E-08, 0.7%, 1.154E+00, 0.6%, 4.669E-06, 0.5%, 2.129E+00, 0.3%, 1.416E-09, 4.8%, 1.197E+00, 3.4%, 7.876E-08, 0.7%, 1.210E+00, 0.6%, 4.667E-06, 0.5%, 2.130E+00, 0.3%, 1.416E-09, 4.8%, 1.197E+00, 3.4%
126, 8.187E-08, 0.7%, 1.158E+00, 0.6%, 4.586E-06, 0.5%, 2.135E+00, 0.4%, 1.387E-09, 4.6%, 1.134E+00, 3.4%, 7.729E-08, 0.7%, 1.216E+00, 0.6%, 4.584E-06, 0.5%, 2.136E+00, 0.4%, 1.387E-09, 4.6%, 1.134E+00, 3.4%
127, 8.089E-08, 0.7%, 1.168E+00, 0.6%, 4.498E-06, 0.5%, 2.142E+00, 0.3%, 1.344E-09, 4.9%, 1.245E+00, 3.4%, 7.641E-08, 0.7%, 1.226E+00, 0.6%, 4.495E-06, 0.5%, 2.143E+00, 0.3%, 1.344E-09, 4.9%, 1.245E+00, 3.4%
128, 7.888E-08, 0.7%, 1.164E+00, 0.6%, 4.417E-06, 0.5%, 2.149E+00, 0.3%, 1.323E-09, 4.9%, 1.199E+00, 3.7%, 7.451E-08, 0.7%, 1.221E+00, 0.6%, 4.414E-06, 0.5%, 2.149E+00, 0.3%, 1.323E-09, 4.9%, 1.199E+00, 3.7%
129, 7.834E-08, 0.7%, 1.164E+00, 0.6%, 4.337E-06, 0.5%, 2.155E+00, 0.3%, 1.245E-09, 5.1%, 1.219E+00, 3.6%, 7.394E-08, 0.7%, 1.222E+00, 0.6%, 4.335E-06, 0.5%, 2.156E+00, 0.3%, 1.245E-09, 5.1%, 1.219E+00, 3.6%
130, 7.626E-08, 0.7%, 1.160E+00, 0.6%, 4.264E-06, 0.5%, 2.160E+00, 0.4%, 1.373E-09, 4.9%, 1.220E+00, 3.2%, 7.190E-08, 0.7%, 1.218E+00, 0.6%, 4.261E-06, 0.5%, 2.161E+00, 0.4%, 1.373E-09, 4.9%, 1.220E+00, 3.2%
131, 7.590E-08, 0.7%, 1.164E+00, 0.6%, 4.185E-06, 0.5%, 2.168E+00, 0.3%, 1.353E-09, 4.9%, 1.166E+00, 3.0%, 7.159E-08, 0.7%, 1.223E+00, 0.6%, 4.182E-06, 0.5%, 2.169E+00, 0.3%, 1.353E-09, 4.9%, 1.166E+00, 3.0%
